#YY  MM DD hh mm CHILL  HEAT   ICE WSPD10 WSPD20
#yr  mo dy hr mn  degC  degC cm/hr    m/s    m/s
2015 05 25 05 50   8.8    MM    MM      7      7
2015 05 25 04 50   8.5    MM    MM      7      7
2015 05 25 03 50   8.8    MM    MM      6      6
2015 05 25 02 50   9.1    MM    MM      6      6
2015 05 25 01 50   9.2    MM    MM      5      6
2015 05 25 00 50   8.9    MM    MM      6      6
2015 05 24 23 50   8.8    MM    MM      5      5
2015 05 24 22 50  10.1    MM    MM      3      3
2015 05 24 21 50  10.0    MM    MM      3      3
2015 05 24 20 50   9.4    MM    MM      3      3
2015 05 24 19 50   8.2    MM    MM      5      5
2015 05 24 18 50   7.7    MM    MM      6      6
2015 05 24 17 50   9.1    MM    MM      4      4
2015 05 24 16 50   7.9    MM    MM      6      6
2015 05 24 15 50   8.7    MM    MM      6      6
2015 05 24 14 50   8.2    MM    MM      6      6
2015 05 24 13 50   9.0    MM    MM      5      5
2015 05 24 12 50   8.4    MM    MM      6      6
2015 05 24 11 50   8.1    MM    MM      5      5
2015 05 24 10 50   7.5    MM    MM      7      7
2015 05 24 09 50   7.7    MM    MM      6      6
2015 05 24 08 50   7.9    MM    MM      6      7
2015 05 24 07 50   8.4    MM    MM      6      6
2015 05 24 06 50   8.7    MM    MM      5      5
2015 05 24 05 50   8.8    MM    MM      5      5
2015 05 24 04 50  10.0    MM    MM      3      3
2015 05 24 03 50   8.6    MM    MM      5      5
2015 05 24 02 50   9.1    MM    MM      5      6
2015 05 24 01 50   8.9    MM    MM      6      6
2015 05 24 00 50   9.3    MM    MM      6      6
2015 05 23 23 50   9.6    MM    MM      4      4
2015 05 23 22 50  10.4    MM    MM      3      3
2015 05 23 21 50   9.0    MM    MM      5      6
2015 05 23 20 50   9.7    MM    MM      4      4
2015 05 23 19 50   9.0    MM    MM      4      4
2015 05 23 18 50   9.2    MM    MM      5      5
2015 05 23 17 50   9.0    MM    MM      4      4
2015 05 23 16 50   8.7    MM    MM      5      5
2015 05 23 15 50   9.1    MM    MM      4      4
2015 05 23 14 50   8.6    MM    MM      5      6
2015 05 23 13 50   8.7    MM    MM      5      5
2015 05 23 12 50   8.5    MM    MM      6      7
2015 05 23 11 50   8.8    MM    MM      6      6
2015 05 23 10 50   8.6    MM    MM      7      7
2015 05 23 09 50   8.5    MM    MM      6      6
2015 05 23 08 50   8.8    MM    MM      6      6
2015 05 23 07 50   9.4    MM    MM      4      5
2015 05 23 06 50   9.5    MM    MM      4      5
2015 05 23 05 50  10.1    MM    MM      3      3
2015 05 23 04 50  10.0    MM    MM      4      5
2015 05 23 03 50  10.8    MM    MM      2      3
2015 05 23 02 50  10.7    MM    MM      3      3
2015 05 23 01 50  11.3    MM    MM      3      3
2015 05 23 00 50  10.1    MM    MM      4      5
2015 05 22 23 50  10.8    MM    MM      3      4
2015 05 22 22 50  10.6    MM    MM      3      3
2015 05 22 21 50  10.4    MM    MM      3      3
2015 05 22 20 50  10.2    MM    MM      4      4
2015 05 22 19 50  10.2    MM    MM      4      4
2015 05 22 18 50  10.7    MM    MM      2      2
2015 05 22 17 50   9.5    MM    MM      4      4
2015 05 22 16 50   9.8    MM    MM      3      3
2015 05 22 15 50   9.4    MM    MM      4      4
2015 05 22 14 50   8.7    MM    MM      5      5
2015 05 22 13 50   8.6    MM    MM      6      6
2015 05 22 12 50   8.4    MM    MM      6      6
2015 05 22 11 50   8.4    MM    MM      6      7
2015 05 22 10 50   8.8    MM    MM      6      6
2015 05 22 09 50   9.0    MM    MM      5      5
2015 05 22 08 50   9.8    MM    MM      4      4
2015 05 22 07 50   9.2    MM    MM      4      4
2015 05 22 06 50   8.8    MM    MM      5      5
2015 05 22 05 50   8.8    MM    MM      5      5
2015 05 22 04 50   9.1    MM    MM      5      6
2015 05 22 03 50   9.1    MM    MM      6      6
2015 05 22 02 50   8.6    MM    MM      7      7
2015 05 22 01 50   9.0    MM    MM      6      6
2015 05 22 00 50   9.6    MM    MM      5      5
2015 05 21 23 50   9.8    MM    MM      4      5
2015 05 21 22 50   9.6    MM    MM      5      6
2015 05 21 21 50   9.5    MM    MM      5      5
2015 05 21 20 50  10.0    MM    MM      4      4
2015 05 21 19 50  10.1    MM    MM      3      3
2015 05 21 18 50   9.5    MM    MM      4      4
2015 05 21 17 50   9.8    MM    MM      3      3
2015 05 21 16 50   9.0    MM    MM      5      5
2015 05 21 15 50   8.9    MM    MM      4      4
2015 05 21 14 50   8.6    MM    MM      4      5
2015 05 21 13 50   8.1    MM    MM      5      5
2015 05 21 12 50   8.0    MM    MM      6      6
2015 05 21 11 50   8.0    MM    MM      6      6
2015 05 21 10 50   8.0    MM    MM      6      6
2015 05 21 09 50   8.0    MM    MM      6      6
2015 05 21 08 50   8.3    MM    MM      6      6
2015 05 21 07 50   8.0    MM    MM      6      6
2015 05 21 06 50   7.7    MM    MM      7      7
2015 05 21 05 50   7.8    MM    MM      7      7
2015 05 21 04 50   8.0    MM    MM      7      8
2015 05 21 03 50   7.6    MM    MM      8      8
2015 05 21 02 50   8.1    MM    MM      8      8
2015 05 21 01 50   8.0    MM    MM      8      8
2015 05 21 00 50   8.4    MM    MM      8      8
2015 05 20 23 50   8.9    MM    MM      7      7
2015 05 20 22 50   9.2    MM    MM      5      6
2015 05 20 21 50   9.1    MM    MM      6      6
2015 05 20 20 50   9.6    MM    MM      5      5
2015 05 20 19 50   9.5    MM    MM      5      5
2015 05 20 18 50   8.7    MM    MM      5      5
2015 05 20 17 50   8.6    MM    MM      5      6
2015 05 20 16 50   8.7    MM    MM      5      5
2015 05 20 15 50   8.2    MM    MM      5      5
2015 05 20 14 50   8.2    MM    MM      6      6
2015 05 20 13 50   8.3    MM    MM      6      6
2015 05 20 12 50   8.9    MM    MM      5      5
2015 05 20 11 50   8.6    MM    MM      5      5
2015 05 20 10 50   8.7    MM    MM      4      4
2015 05 20 09 50   8.3    MM    MM      5      5
2015 05 20 08 50   8.7    MM    MM      5      5
2015 05 20 07 50   8.8    MM    MM      5      5
2015 05 20 06 50   9.0    MM    MM      5      5
2015 05 20 05 50   9.1    MM    MM      5      6
2015 05 20 04 50   9.1    MM    MM      5      6
2015 05 20 03 50   9.2    MM    MM      5      5
2015 05 20 02 50   9.3    MM    MM      5      6
2015 05 20 01 50   9.5    MM    MM      5      5
2015 05 20 00 50  10.0    MM    MM      5      5
2015 05 19 23 50  10.1    MM    MM      4      4
2015 05 19 22 50  10.3    MM    MM      3      3
2015 05 19 21 50  10.6    MM    MM      2      3
2015 05 19 20 50  10.7    MM    MM      2      3
